shelter_id,shelter_name,district,state,hazard_type,latitude,longitude,capacity_people,current_occupancy,vulnerable_ratio,days_isolated,road_access,power_backup_hours,food_rations_kg,water_liters,medical_kits,blankets_count,target_shortage_score,target_urgency_class,target_action_code
SH-DAR-0001,Darbhanga Sector-8 Relief Center,Darbhanga,Bihar,flood,26.01664,86.02066,300,194,0.416,4.47,1,15.7,176.3,394.6,3.2,130.7,91.97,CRITICAL_DEFICIT,0
SH-IDU-0002,Idukki Sector-19 Relief Center,Idukki,Kerala,flood,9.78664,76.94003,300,167,0.222,1.22,1,10.5,653.8,1830.5,8.6,388.4,48.13,DEFICIT,1
SH-BAL-0003,Balasore Sector-6 Relief Center,Balasore,Odisha,cyclone,21.17712,87.1865,150,76,0.389,2.11,1,28.7,162.3,402.9,2.8,86.1,81.13,CRITICAL_DEFICIT,0
SH-KUT-0004,Kutch Sector-11 Relief Center,Kutch,Gujarat,earthquake,23.56447,70.01262,150,105,0.339,0.25,1,45.8,172.0,416.0,3.1,168.7,85.94,CRITICAL_DEFICIT,0
SH-VIS-0005,Visakhapatnam Sector-14 Relief Center,Visakhapatnam,Andhra Pradesh,cyclone,17.77715,83.60301,300,20,0.306,5.95,1,50.6,15.0,30.5,0.2,14.3,93.4,CRITICAL_DEFICIT,0
SH-KUT-0006,Kutch Sector-12 Relief Center,Kutch,Gujarat,earthquake,23.58112,69.78066,150,69,0.186,4.26,0,24.1,110.4,198.8,1.6,106.2,100.0,CRITICAL_DEFICIT,0
SH-KAZ-0007,Kaziranga Sector-17 Relief Center,Kaziranga,Assam,flood,26.65283,92.80647,150,96,0.205,2.85,1,59.4,143.8,309.4,2.0,125.0,78.23,CRITICAL_DEFICIT,0
SH-DHU-0008,Dhubri Sector-11 Relief Center,Dhubri,Assam,flood,26.372,90.32228,800,358,0.149,4.15,1,31.7,2586.3,6886.4,32.4,1795.7,0.0,BALANCED,2
SH-IDU-0009,Idukki Sector-16 Relief Center,Idukki,Kerala,flood,10.05278,76.67328,300,57,0.236,3.24,0,28.5,85.5,159.1,2.0,63.1,100.0,CRITICAL_DEFICIT,0
SH-VIS-0010,Visakhapatnam Sector-18 Relief Center,Visakhapatnam,Andhra Pradesh,cyclone,17.82852,83.17737,150,135,0.096,2.62,0,38.8,38.4,76.9,0.5,37.7,100.0,CRITICAL_DEFICIT,0
SH-KUT-0011,Kutch Sector-2 Relief Center,Kutch,Gujarat,earthquake,23.96133,69.85227,300,205,0.648,13.03,0,34.9,908.1,1903.7,24.9,649.1,68.66,DEFICIT,1
SH-UTT-0012,Uttarkashi Sector-1 Relief Center,Uttarkashi,Uttarakhand,earthquake,30.61368,78.62966,300,308,0.133,0.38,1,30.4,1248.5,2667.7,16.7,1089.9,53.78,DEFICIT,1
SH-VIS-0013,Visakhapatnam Sector-7 Relief Center,Visakhapatnam,Andhra Pradesh,cyclone,17.851,82.85952,300,160,0.166,2.16,1,65.7,149.2,250.1,1.6,131.6,87.45,CRITICAL_DEFICIT,0
SH-KAZ-0014,Kaziranga Sector-8 Relief Center,Kaziranga,Assam,flood,26.07962,93.27761,500,540,0.416,9.31,0,42.9,474.1,826.5,6.4,462.3,100.0,CRITICAL_DEFICIT,0
SH-DAR-0015,Darbhanga Sector-1 Relief Center,Darbhanga,Bihar,flood,26.59952,85.72245,150,105,0.069,2.02,1,0.0,104.2,172.4,1.1,37.9,89.99,CRITICAL_DEFICIT,0
SH-PUR-0016,Puri Sector-4 Relief Center,Puri,Odisha,cyclone,19.98827,85.98117,150,54,0.288,4.85,0,20.4,114.3,278.8,2.0,87.1,90.41,CRITICAL_DEFICIT,0
SH-PUR-0017,Puri Sector-12 Relief Center,Puri,Odisha,cyclone,19.9338,85.94796,300,263,0.131,2.48,0,38.6,206.2,553.4,4.1,204.9,100.0,CRITICAL_DEFICIT,0
SH-SOU-0018,South 24 Parganas Sector-5 Relief Center,South 24 Parganas,West Bengal,cyclone,22.45462,88.39471,150,106,0.075,0.26,1,31.1,394.7,917.2,3.9,155.7,51.08,DEFICIT,1
SH-UTT-0019,Uttarkashi Sector-4 Relief Center,Uttarkashi,Uttarakhand,earthquake,31.02803,78.13623,1200,601,0.186,2.91,0,25.0,961.8,2104.9,21.5,414.6,97.4,CRITICAL_DEFICIT,0
SH-KUT-0020,Kutch Sector-17 Relief Center,Kutch,Gujarat,earthquake,23.37168,69.50783,1200,609,0.412,0.03,1,29.8,2359.9,7033.4,45.8,1236.1,50.8,DEFICIT,1
SH-KAT-0021,Katihar Sector-12 Relief Center,Katihar,Bihar,flood,24.91301,87.85728,2000,206,0.216,0.45,1,7.8,900.8,2680.4,10.3,537.2,48.86,DEFICIT,1
SH-KAT-0022,Katihar Sector-4 Relief Center,Katihar,Bihar,flood,25.19089,87.7676,300,366,0.252,6.75,0,50.6,89.0,192.3,2.0,88.2,100.0,CRITICAL_DEFICIT,0
SH-WAY-0023,Wayanad Sector-3 Relief Center,Wayanad,Kerala,flood,11.41106,76.10337,150,128,0.181,3.54,1,38.5,101.6,201.7,1.4,47.9,94.18,CRITICAL_DEFICIT,0
SH-BAL-0024,Balasore Sector-2 Relief Center,Balasore,Odisha,cyclone,21.617,86.70653,300,113,0.155,1.36,0,48.2,228.2,661.3,4.1,225.2,94.77,CRITICAL_DEFICIT,0
SH-CHA-0025,Chamoli Sector-6 Relief Center,Chamoli,Uttarakhand,earthquake,30.7415,79.3903,300,143,0.05,0.17,1,21.4,241.7,465.5,3.7,135.6,75.47,CRITICAL_DEFICIT,0
SH-CHA-0026,Chamoli Sector-8 Relief Center,Chamoli,Uttarakhand,earthquake,30.93104,79.41915,500,192,0.362,1.07,1,14.5,350.4,746.9,9.5,146.9,78.46,CRITICAL_DEFICIT,0
SH-IDU-0027,Idukki Sector-15 Relief Center,Idukki,Kerala,flood,9.55932,77.10965,300,258,0.208,3.19,1,10.0,66.0,171.4,1.5,55.0,95.57,CRITICAL_DEFICIT,0
SH-WAY-0028,Wayanad Sector-7 Relief Center,Wayanad,Kerala,flood,11.27063,75.93923,300,291,0.146,0.23,1,35.8,575.2,1287.2,6.6,300.6,80.66,CRITICAL_DEFICIT,0
SH-BAL-0029,Balasore Sector-6 Relief Center,Balasore,Odisha,cyclone,21.16599,86.91069,500,162,0.189,10.1,1,9.0,173.2,492.7,3.7,87.5,89.52,CRITICAL_DEFICIT,0
SH-WAY-0030,Wayanad Sector-19 Relief Center,Wayanad,Kerala,flood,11.44101,76.2035,800,689,0.163,6.72,1,26.5,1175.3,2667.2,20.3,821.9,81.71,CRITICAL_DEFICIT,0
SH-SOU-0031,South 24 Parganas Sector-17 Relief Center,South 24 Parganas,West Bengal,cyclone,21.88205,88.75152,150,25,0.397,11.76,1,51.1,26.3,69.6,0.4,22.5,92.31,CRITICAL_DEFICIT,0
SH-UTT-0032,Uttarkashi Sector-5 Relief Center,Uttarkashi,Uttarakhand,earthquake,30.90089,78.35578,150,95,0.211,2.45,1,16.8,176.3,375.7,2.8,121.3,73.07,CRITICAL_DEFICIT,0
